J-Date,Date,Weekday,Symbol,Open
1390-05-21,8/12/2011,Friday,سکه امامی,4850000
1390-05-22,8/13/2011,Saturday,سکه امامی,4800000
1390-05-23,8/14/2011,Sunday,سکه امامی,4750000
1390-05-24,8/15/2011,Monday,سکه امامی,4720000
1390-05-25,8/16/2011,Tuesday,سکه امامی,4840000
1390-05-26,8/17/2011,Wednesday,سکه امامی,4900000
1390-05-28,8/19/2011,Friday,سکه امامی,4940000
1390-05-29,8/20/2011,Saturday,سکه امامی,5170000
1390-05-31,8/22/2011,Monday,سکه امامی,5330000
1390-06-01,8/23/2011,Tuesday,سکه امامی,5580000
1390-06-02,8/24/2011,Wednesday,سکه امامی,5570000
1390-06-04,8/26/2011,Friday,سکه امامی,5220000
1390-06-05,8/27/2011,Saturday,سکه امامی,5600000
1390-06-06,8/28/2011,Sunday,سکه امامی,5540000
1390-06-07,8/29/2011,Monday,سکه امامی,5560000
1390-06-11,9/2/2011,Friday,سکه امامی,5520000
1390-06-12,9/3/2011,Saturday,سکه امامی,5650000
1390-06-13,9/4/2011,Sunday,سکه امامی,5630000
1390-06-14,9/5/2011,Monday,سکه امامی,5750000
1390-06-15,9/6/2011,Tuesday,سکه امامی,5960000
1390-06-16,9/7/2011,Wednesday,سکه امامی,5900000
1390-06-18,9/9/2011,Friday,سکه امامی,5960000
1390-06-19,9/10/2011,Saturday,سکه امامی,6050000
1390-06-20,9/11/2011,Sunday,سکه امامی,6150000
1390-06-21,9/12/2011,Monday,سکه امامی,6400000
1390-06-22,9/13/2011,Tuesday,سکه امامی,6100000
1390-06-23,9/14/2011,Wednesday,سکه امامی,6000000
1390-06-25,9/16/2011,Friday,سکه امامی,6050000
1390-06-26,9/17/2011,Saturday,سکه امامی,6100000
1390-06-27,9/18/2011,Sunday,سکه امامی,6100000
1390-06-28,9/19/2011,Monday,سکه امامی,6130000
1390-06-29,9/20/2011,Tuesday,سکه امامی,6100000
1390-06-30,9/21/2011,Wednesday,سکه امامی,6150000
1390-07-02,9/24/2011,Saturday,سکه امامی,6100000
1390-07-03,9/25/2011,Sunday,سکه امامی,5700000
1390-07-04,9/26/2011,Monday,سکه امامی,5650000
1390-07-05,9/27/2011,Tuesday,سکه امامی,5900000
1390-07-06,9/28/2011,Wednesday,سکه امامی,5870000
1390-07-08,9/30/2011,Friday,سکه امامی,5870000
1390-07-09,10/1/2011,Saturday,سکه امامی,5900000
1390-07-10,10/2/2011,Sunday,سکه امامی,5500000
1390-07-11,10/3/2011,Monday,سکه امامی,5550000
1390-07-12,10/4/2011,Tuesday,سکه امامی,5750000
1390-07-13,10/5/2011,Wednesday,سکه امامی,5700000
1390-07-15,10/7/2011,Friday,سکه امامی,5760000
1390-07-16,10/8/2011,Saturday,سکه امامی,5700000
1390-07-17,10/9/2011,Sunday,سکه امامی,5650000
1390-07-18,10/10/2011,Monday,سکه امامی,5700000
1390-07-19,10/11/2011,Tuesday,سکه امامی,5650000
1390-07-20,10/12/2011,Wednesday,سکه امامی,5680000
1390-07-22,10/14/2011,Friday,سکه امامی,5620000
1390-07-23,10/15/2011,Saturday,سکه امامی,5650000
1390-07-24,10/16/2011,Sunday,سکه امامی,5630000
1390-07-25,10/17/2011,Monday,سکه امامی,5700000
1390-07-26,10/18/2011,Tuesday,سکه امامی,5700000
1390-07-27,10/19/2011,Wednesday,سکه امامی,5650000
1390-07-29,10/21/2011,Friday,سکه امامی,5610000
1390-07-30,10/22/2011,Saturday,سکه امامی,5640000
1390-08-01,10/23/2011,Sunday,سکه امامی,5700000
1390-08-02,10/24/2011,Monday,سکه امامی,5680000
1390-08-03,10/25/2011,Tuesday,سکه امامی,5670000
1390-08-04,10/26/2011,Wednesday,سکه امامی,5770000
1390-08-06,10/28/2011,Friday,سکه امامی,5770000
1390-08-07,10/29/2011,Saturday,سکه امامی,5880000
1390-08-08,10/30/2011,Sunday,سکه امامی,5950000
1390-08-09,10/31/2011,Monday,سکه امامی,5930000
1390-08-10,11/1/2011,Tuesday,سکه امامی,5900000
1390-08-11,11/2/2011,Wednesday,سکه امامی,5920000
1390-08-13,11/4/2011,Friday,سکه امامی,5930000
1390-08-14,11/5/2011,Saturday,سکه امامی,5910000
1390-08-16,11/7/2011,Monday,سکه امامی,5920000
